problem,instance,cost,dist,time,events,skipped
TWh_RC_8,8,20201477.92,1477.92,15.80,87,74
TWh_RC_9,10,1081.89,1081.89,19.28,73,62
TWr_RC_8,8,50501233.33,1233.33,14.37,86,71
TWh_RC_5,10,20201288.37,1288.37,25.51,88,74
TWdf_RC_7,7,10102764.64,2764.64,4.57,160,133
TWh_C_4,7,20201434.33,1434.33,12.36,87,74
TWh_R_6,10,10101333.85,1333.85,27.61,103,93
TWh_R_3,7,30301211.55,1211.55,20.13,92,80
TWdf_C_2,4,10102013.44,2013.44,2.93,102,83
TWh_RC_8,6,10101084.17,1084.17,13.38,79,67
TWh_C_3,1,10101214.12,1214.12,9.55,74,63
TWr_R_2,9,20201346.67,1346.67,14.18,95,85
TWr_R_5,3,1136.81,1136.81,16.55,84,76
TWr_RC_5,1,30301734.67,1734.67,26.40,124,106
TWh_RC_2,2,1091.08,1091.08,9.08,76,63
TWh_C_6,6,20201181.25,1181.25,10.75,93,79
TWh_R_8,6,1267.03,1267.03,17.96,94,83
TWh_RC_4,2,20201522.01,1522.01,33.54,108,93
TWdf_R_2,7,10102337.14,2337.14,2.94,124,104
TWr_RC_2,1,20201008.92,1008.92,12.87,77,68
TWdf_R_9,3,10102720.51,2720.51,4.48,157,137
TWdf_RC_1,3,2266.50,2266.50,2.16,107,89
TWr_R_1,5,10101295.65,1295.65,13.00,87,76
TWh_C_2,8,10101200.92,1200.92,7.94,85,76
TWr_C_4,6,10101424.03,1424.03,13.96,96,83
TWh_C_3,10,70701718.12,1718.12,90.53,115,96
TWh_R_2,1,20201452.38,1452.38,12.19,84,71
TWdf_R_1,6,2464.35,2464.35,5.42,155,133
TWh_C_6,9,20201251.56,1251.56,23.74,83,71
TWdf_C_3,5,40403098.12,3098.12,4.29,154,129
TWh_RC_5,8,40401253.30,1253.30,21.34,88,78
TWdf_RC_3,9,10102180.22,2180.22,2.76,103,86
TWdf_R_1,8,1699.13,1699.13,3.61,115,95
TWr_RC_4,2,20201320.86,1320.86,18.02,90,76
TWr_C_2,5,10101330.08,1330.08,10.57,105,93
TWh_C_4,9,40401581.12,1581.12,58.51,107,92
TWr_R_8,7,10101310.07,1310.07,26.24,95,75
TWr_RC_3,1,1381.30,1381.30,11.61,75,62
TWh_RC_9,9,1301.73,1301.73,17.50,94,80
TWdf_RC_4,5,10102389.21,2389.21,2.90,123,99
TWdf_R_2,9,20202201.90,2201.90,3.29,135,113
TWh_C_7,7,10101349.32,1349.32,15.99,90,79
