problem_type,problem_number,instance,cost,dist,time,events,skipped
TWh_C,1,8,20201248.00,1248.00,35.31,82,70
TWdf_C,9,8,20201370.49,1370.49,5.96,144,123
TWr_C,7,1,1213.64,1213.64,28.27,85,67
TWdf_R,9,5,20201837.97,1837.97,8.62,161,134
TWdf_R,5,8,2155.85,2155.85,8.58,155,130
TWr_C,9,6,1206.22,1206.22,31.57,98,82
TWdf_RC,4,2,20202371.94,2371.94,12.20,182,153
TWdf_R,7,5,40403190.55,3190.55,13.88,211,175
TWh_R,4,7,1121.67,1121.67,44.98,80,69
TWh_R,9,8,40401455.80,1455.80,32.06,97,82
TWr_C,9,2,30301456.10,1456.10,45.30,127,108
TWh_RC,5,4,20202036.56,2036.56,97.12,95,77
TWr_R,5,8,1306.28,1306.28,50.50,91,78
TWdf_R,5,2,1970.74,1970.74,8.93,141,115
TWr_R,2,7,10101244.76,1244.76,18.56,73,61
TWdf_RC,3,6,10102218.04,2218.04,5.85,157,132
TWdf_RC,6,7,20202159.10,2159.10,10.12,168,141
TWr_R,6,9,1293.23,1293.23,74.73,100,85
TWdf_R,6,1,1848.00,1848.00,6.35,113,91
TWr_R,4,10,944.58,944.58,27.77,75,65
TWr_R,7,6,10101208.57,1208.57,39.78,98,85
TWh_C,1,5,20201244.80,1244.80,43.83,93,79
TWdf_RC,8,2,20201976.67,1976.67,10.11,158,130
TWr_R,1,4,30301306.09,1306.09,61.64,128,108
TWh_C,9,2,40401345.24,1345.24,43.32,109,97
TWr_C,5,7,10101585.37,1585.37,50.38,89,75
TWh_RC,7,8,20201413.48,1413.48,135.24,113,99
TWr_R,8,10,1077.52,1077.52,21.57,79,68
TWh_C,2,5,10101403.36,1403.36,15.74,101,89
TWdf_C,9,6,1711.10,1711.10,6.97,131,105
TWdf_RC,5,1,20202989.00,2989.00,6.56,160,131
TWdf_RC,6,5,10101858.21,1858.21,6.57,147,125
TWh_R,3,5,1395.72,1395.72,198.98,133,118
TWdf_RC,1,2,10102382.00,2382.00,9.92,194,166
TWh_C,1,1,40401492.80,1492.80,60.05,120,103
TWh_RC,5,7,40401734.67,1734.67,104.26,114,97
TWdf_C,2,1,20202655.57,2655.57,5.15,167,139
TWh_C,5,3,10101192.46,1192.46,31.06,82,70
TWr_R,9,2,70701545.42,1545.42,50.52,106,89
TWdf_C,3,4,20202265.18,2265.18,5.75,156,134
TWdf_R,1,2,1845.22,1845.22,7.74,128,104
TWr_RC,2,4,1526.77,1526.77,75.29,118,100
TWr_R,3,8,20201522.14,1522.14,31.94,127,115
TWh_C,7,9,30301578.41,1578.41,97.86,115,98
TWr_RC,1,3,1354.50,1354.50,23.81,136,122
TWdf_RC,1,9,2820.00,2820.00,7.24,139,110
TWr_C,4,2,30301430.73,1430.73,54.62,101,87
TWdf_R,4,9,1967.08,1967.08,6.40,152,128
TWh_R,7,10,1242.20,1242.20,27.83,85,72
